Family,WM/AFDM
Naididae,0.157
Golfingiidae,0.111
Aspidosiphonidae,0.111
Amphinomidae,0.169
Lumbrineridae,0.169
Onuphidae,0.169
Oenonidae,0.169
Dorvilleidae,0.169
Eunicidae,0.169
Paraonidae,0.145
Capitellidae,0.145
Chaetopteridae,0.145
Oweniidae,0.145
Maldanidae,0.145
Magelonidae,0.145
Opheliidae,0.145
Orbiniidae,0.145
Scalibregmatidae,0.145
Nereididae,0.169
Phyllodocidae,0.169
Syllidae,0.169
Polynoidae,0.169
Glyceridae,0.169
Goniadidae,0.169
Pilargidae,0.169
Hesionidae,0.169
Nephtyidae,0.169
Acoetidae,0.169
Sigalionidae,0.169
Sphaerodoridae,0.169
Sabellidae,0.145
Serpulidae,0.145
Siboglinidae,0.145
Spionidae,0.145
Poecilochaetidae,0.145
Apistobranchidae,0.145
Ampharetidae,0.145
Pectinariidae,0.145
Cirratulidae,0.145
Flabelligeridae,0.145
Terebellidae,0.145
Trichobranchidae,0.145
Acidostomatidae,0.16
Ampeliscidae,0.16
Argissidae,0.16
Bathyporeiidae,0.16
Ischyroceridae,0.16
Corophiidae,0.16
Eriopisidae,0.16
Phoxocephalidae,0.16
Leucothoidae,0.16
Megaluropidae,0.16
Oedicerotidae,0.16
Photidae,0.16
Scopelocheiridae,0.16
Tryphosidae,0.16
Urothoidae,0.16
Melitidae,0.16
Amphilochidae,0.16
Aoridae,0.16
Dulichiidae,0.16
Iphimediidae,0.16
Caprellidae,0.16
Uristidae,0.16
Pardaliscidae,0.16
Hyperiidae,0.16
Atylidae,0.16
Diastylidae,0.075
Leuconidae,0.075
Lampropidae,0.075
Pseudocumatidae,0.075
Bodotriidae,0.075
Nannastacidae,0.075
Callianassidae,0.18
Leucosiidae,0.18
Porcellanidae,0.18
Upogebiidae,0.18
Paguridae,0.18
Corystidae,0.18
Galatheidae,0.18
Nephropidae,0.18
Crangonidae,0.234
Goneplacidae,0.18
Processidae,0.234
Solenoceridae,0.18
Euphausiidae,0.224
Arcturidae,0.142
Gnathiidae,0.142
Ionidae,0.142
Janiridae,0.142
Nebaliidae,0.1512
Mysidae,0.155
Tanaellidae,0.1512
Typhlotanaidae,0.1512
Akanthophoreidae,0.1512
Tanaopsidae,0.1512
Ammotheidae,0.18
Phoxichilidiidae,0.18
Ascorhynchidae,0.18
Styelidae,0.023
Hormathiidae,0.138
Synarachnactidae,0.138
Caryophylliidae,0.138
Astropectinidae,0.124
Poraniidae,0.124
Fibulariidae,0.023
Loveniidae,0.023
Brissidae,0.023
Spatangidae,0.023
Synaptidae,0.112
Cucumariidae,0.112
Amphiuridae,0.09
Ophiotrichidae,0.09
Ophiuridae,0.09
Pharidae,0.057
Hiatellidae,0.057
Semelidae,0.057
Tellinidae,0.057
Psammobiidae,0.057
Cardiidae,0.057
Donacidae,0.057
Lasaeidae,0.057
Thyasiridae,0.057
Lucinidae,0.057
Corbulidae,0.057
Mytilidae,0.057
Periplomatidae,0.057
Thraciidae,0.057
Nuculanidae,0.057
Nuculidae,0.057
Veneridae,0.057
Mactridae,0.057
Chaetodermatidae,0.144
Epitoniidae,0.144
Turritellidae,0.144
Cylichnidae,0.144
Philinidae,0.144
Retusidae,0.144
Rhizoridae,0.144
Diaphanidae,0.144
Laonidae,0.144
Naticidae,0.144
Eulimidae,0.144
Iravadiidae,0.144
Acteonidae,0.144
Pyramidellidae,0.144
Mangeliidae,0.173
Embletoniidae,0.173
Leptochitonidae,0.272
Dentaliidae,0.144
Tubulanidae,0.211
Lineidae,0.211
