surveyCode,stationCode,location
CEND0924,T18,silverPit
CEND0924,SPT007,silverPit
CEND0924,SPT004,silverPit
CEND0924,SPT002,silverPit
CEND0924,SPT003,silverPit
CEND0924,SPT008,silverPit
CEND0924,SPT010,silverPit
CEND0924,SPT009,silverPit
CEND0924,SPT014,silverPit
CEND0924,T20,silverPit
CEND0924,SPT011,silverPit
CEND0924,SPT012,silverPit
CEND0924,SPT015,silverPit
CEND0924,SPT006,silverPit
CEND0924,SPT018,silverPit
CEND0924,SPT005,silverPit
CEND0924,SPT013,silverPit
CEND0924,SPT016,silverPit
CEND0924,SPT017,silverPit
CEND0924,T22,silverPit
CEND0924,T21,silverPit
CEND0723,MNCEA14,westDogger
CEND0723,MNCEA13,westDogger
CEND0723,SPT01,southDogger
CEND0723,TRAN066,southDogger
CEND0723,MDGRB064,Dogger
CEND0723,MDGRB063,Dogger
CEND0723,MDGRB062,Dogger
CEND0723,MDGRB061,Dogger
CEND0723,MDGRB060,Dogger
CEND0723,MDGRB059,Dogger
CEND0723,MDGRB058,Dogger
CEND0723,MDGRB057,Dogger
CEND0723,MDGRB056,Dogger
CEND0723,MDGRB055,Dogger
CEND0723,MDGRB054,Dogger
CEND0723,MDGRB053,Dogger
CEND0723,MDGRB052,Dogger
CEND0723,MDGRB051,Dogger
CEND0723,MDGRB050,Dogger
CEND0924,DCTD001,Dogger
CEND0924,DCTD002,Dogger
CEND0924,DCTD003,Dogger
CEND0924,OBDT001,Dogger
CEND0924,OBDT002,Dogger
CEND0924,OBDT003,Dogger
CEND0924,OBDT004,Dogger
CEND0924,OBDT005,Dogger
CEND0924,OBDT006,Dogger
CEND0924,OBDT007,Dogger
CEND0924,OBDT012,Dogger
CEND0924,OBDT011,Dogger
CEND0924,DCTD004,transectDoggerSwallow
CEND0924,DCTD005,transectDoggerSwallow
CEND0924,DCTD006,transectDoggerSwallow
CEND0924,DCTD007,transectDoggerSwallow
CEND0723,NDT-I,transectDoggerFulmar
CEND0723,NDT-H,transectDoggerFulmar
CEND0723,ND,transectDoggerFulmar
CEND0723,NDT-A,transectDoggerFulmar
CEND0723,NDT-B,transectDoggerFulmar
CEND0723,DT,Fulmar
CEND0723,N05,Fulmar
CEND0723,TRAN040,Fulmar
CEND0723,MFLM039,Fulmar
CEND0723,MFLM038,Fulmar
CEND0723,MFLM037,Fulmar
CEND0723,MFLM036,Fulmar
CEND0723,MFLM035,Fulmar
CEND0723,MFLM034,Fulmar
CEND0723,MFLM033,Fulmar
CEND0723,MFLM032,Fulmar
CEND0723,MFLM031,Fulmar
CEND0723,MFLM030,Fulmar
CEND0723,MFLM029,Fulmar
CEND0723,MFLM028,Fulmar
CEND0723,MFLM027,Fulmar
CEND0723,MFLM026,Fulmar
CEND0723,MFLM025,Fulmar
CEND0723,MFLM024,Fulmar
CEND0723,MFLM023,Fulmar
CEND0924,DCTD008,swallowSand
CEND0924,DCTD009,swallowSand
CEND0924,DCTD010,swallowSand
CEND0924,OBDT008,swallowSand
CEND0924,OBDT009,swallowSand
CEND0924,OBDT010,swallowSand
CEND0723,TRAN042,transectFulmarFarnes
CEND0723,TRAN041,transectFulmarFarnes
CEND0723,TRAN044,transectFulmarFarnes
CEND0723,TRAN043,transectFulmarFarnes
CEND0723,TRAN045,transectFulmarFarnes
CEND0723,MFRN005,Farnes
CEND0723,MFRN004,Farnes
CEND0723,MFRN003,Farnes
CEND0723,MFRN002,Farnes
CEND0723,MFRN001,Farnes
CEND0723,MFRN010,Farnes
CEND0723,MFRN009,Farnes
CEND0723,MFRN008,Farnes
CEND0723,MFRN007,Farnes
CEND0723,MFRN006,Farnes
CEND0723,MFRN020,Farnes
CEND0723,MFRN019,Farnes
CEND0723,MFRN018,Farnes
CEND0723,MFRN017,Farnes
CEND0723,MFRN011,Farnes
CEND0924,MFRN018_2,Farnes
CEND0924,MFRN021,Farnes
CEND0924,MFRN022,Farnes
CEND0924,MFRN023,Farnes
CEND0924,MFRN024,Farnes
CEND0924,MFRN026,Farnes
CEND0924,MFRN027,Farnes
CEND0924,MFRN028,Farnes
CEND0924,MFRN029,Farnes
CEND0924,MFRN030,Farnes
CEND0924,MFRN031,Farnes
CEND0924,MFRN032,Farnes
CEND0924,MFRN033,Farnes
CEND0924,T01,Farnes
CEND0924,T03,Farnes
CEND0723,MFRN016,transectFarnesShore
CEND0723,MFRN015,transectFarnesShore
CEND0723,MFRN014,transectFarnesShore
CEND0723,MFRN013,transectFarnesShore
CEND0723,MFRN012,transectFarnesShore
CEND0924,SGBC001,SeanGasField
CEND0924,SGBC002,SeanGasField
CEND1723,A01,celticSea
CEND1723,G01,celticSea
CEND1723,H01,celticSea
CEND1723,I01,celticSea
CEND1723,X01,celticSea
CEND1723,X03,celticSea
CEND1723,X12,celticSea
CEND1723,X15,celticSea
CEND1723,X21,celticSea
CEND1723,X22,celticSea
CEND1723,X25,celticSea
CEND1723,X33,celticSea
CEND1723,X34,celticSea
CEND1723,X54,celticSea
CEND1723,X55,celticSea
